"Variable","Repetitions","Mean_Importance","SD_Importance","Median_Importance","Minimum_Importance","Maximum_Importance","Mean_Rank","Median_Rank","Top_10_Count","Top_20_Count","Positive_Importance_Count","Positive_Importance_Percentage","Top_10_Percentage","Top_20_Percentage"
"klebsiella",30,0.0156156246450311,0.0099725316777267,0.0171186882354121,-0.00798805299977945,0.0318920760919679,34.1,2,25,27,28,93.3333333333333,83.3333333333333,90
"ruminococcus_gnavus_group",30,0.0131276685308798,0.00536733479941548,0.012087317337182,0.00180407721450471,0.0263595726341532,5,4,28,29,30,100,93.3333333333333,96.6666666666667
"veillonella",30,0.0117665924990478,0.00498839661229408,0.0127387896646421,-0.00108244632870291,0.0202056648024536,19.6666666666667,4,25,29,29,96.6666666666667,83.3333333333333,96.6666666666667
"bilophila",30,0.0111565471298468,0.0064525019656384,0.0109146671477539,0.000801812095335475,0.0339166516326899,8.03333333333333,5,24,27,30,100,80,90
"ruminococcus_2",30,0.0108070906916297,0.00734176624316338,0.0107643273798785,-0.00575300178403193,0.0227113276003769,36.4666666666667,6,21,25,28,93.3333333333333,70,83.3333333333333
"dialister",30,0.00761120131497183,0.00398406468839983,0.00826868723314689,0.000340770140517588,0.0137711227373866,12.9666666666667,8,17,25,30,100,56.6666666666667,83.3333333333333
"parabacteroides",30,0.00750228850535544,0.00413048617188707,0.0083388457914888,0.000120271814300299,0.0170986429330287,13.7,8,19,25,30,100,63.3333333333333,83.3333333333333
"dorea",30,0.00747155237503426,0.00563310246041655,0.0066750856936677,-0.00352797321947595,0.0164171026519936,53.1333333333333,10,16,23,27,90,53.3333333333333,76.6666666666667
"blautia",30,0.00679335297772968,0.00414419473449918,0.00636438350672519,-0.000701585583418485,0.0129292200372843,40.5333333333333,8.5,16,23,28,93.3333333333333,53.3333333333333,76.6666666666667
"sutterella",30,0.00658889089341913,0.00448561596775953,0.00654479122817564,-0.00216489265740571,0.0182412251688817,66.9333333333333,9.5,17,24,26,86.6666666666667,56.6666666666667,80
"subdoligranulum",30,0.00640514228823808,0.00402542872787378,0.00636438350672519,-0.0028664782408242,0.0163770120472267,40,10.5,15,27,28,93.3333333333333,50,90
"tyzzerella_3",30,0.00590467790539954,0.00419325390663816,0.00633431555315006,-0.0066750856936677,0.0142522099945878,41.1333333333333,10.5,15,24,28,93.3333333333333,50,80
"parasutterella",30,0.00466988727858293,0.00485556097297976,0.00441998917553671,-0.00597350011024911,0.0155351093471245,59.2666666666667,13,10,19,27,90,33.3333333333333,63.3333333333333
"lachnoclostridium",30,0.00396629716492607,0.00375488378612198,0.00388878866237702,-0.00581313769118208,0.0100426964940765,61.4333333333333,15,7,17,27,90,23.3333333333333,56.6666666666667
"phascolarctobacterium",30,0.00385270711808687,0.00372630888194062,0.00313708982299998,-0.00280634233367405,0.011826728406198,74.6333333333333,18,6,19,26,86.6666666666667,20,63.3333333333333
"faecalibacterium",30,0.00313909435323831,0.00280569844024171,0.00389881131356873,-0.00266602521699033,0.00849920821055594,89.4666666666667,17,4,18,25,83.3333333333333,13.3333333333333,60
"oscillibacter",30,0.00290055525487602,0.00380869894709017,0.00341772405636742,-0.00677531220558458,0.00974201695832588,102.266666666667,18,4,16,24,80,13.3333333333333,53.3333333333333
"escherichia_shigella",30,0.00277961526382959,0.0037176758174841,0.00372842624330988,-0.0101228777036101,0.00781766792952077,89.4,18.5,3,16,24,80,10,53.3333333333333
"erysipelatoclostridium",30,0.00261724831452416,0.00335887153921397,0.00284643293844089,-0.00483091787439616,0.0107041914727284,104.933333333333,22,3,13,24,80,10,43.3333333333333
"roseburia",30,0.00229618938801693,0.00263979407814746,0.00232525507647285,-0.00501132559584661,0.00751698839376991,80.8666666666667,25.5,4,11,26,86.6666666666667,13.3333333333333,36.6666666666667
"ruminococcus_torques_group",30,0.00219963784820361,0.00313098132490846,0.00222502856455592,-0.00328742959087536,0.00918074849159101,131.933333333333,28,1,11,22,73.3333333333333,3.33333333333333,36.6666666666667
"anaerostipes",30,0.0021575427131985,0.00352218535230738,0.00188425842403833,-0.00418946819812782,0.0113255958466133,134.533333333333,26.5,5,12,22,73.3333333333333,16.6666666666667,40
"prevotella_9",30,0.00211678393168561,0.0030959654632945,0.0026760478681821,-0.0041694228957444,0.00918074849159101,121.8,24.5,2,13,23,76.6666666666667,6.66666666666667,43.3333333333333
