"Sample","Depth","Group"
"HC0017",10000,"HC"
"HC0018",10000,"HC"
"HC0021",10000,"HC"
"HC0026",10000,"HC"
"HC0027",10000,"HC"
"HC0028",10000,"HC"
"HC0029",10000,"HC"
"HC0030",10000,"HC"
"HC0031",10000,"HC"
"HC0040",10000,"HC"
"HC0042",10000,"HC"
"HC0043",10000,"HC"
"HC0044",10000,"HC"
"HC0048",10000,"HC"
"HC0050",10000,"HC"
"HC0053",10000,"HC"
"HC0056",10000,"HC"
"HC0057",10000,"HC"
"HC0059",10000,"HC"
"HC0060",10000,"HC"
"HC0061",10000,"HC"
"HC0063",10000,"HC"
"HC0064",10000,"HC"
"HC0065",10000,"HC"
"HC0068",10000,"HC"
"HC0069",10000,"HC"
"HC0070",10000,"HC"
"HC0074",10000,"HC"
"HC0075",10000,"HC"
"HC0076",10000,"HC"
"HC0077",10000,"HC"
"HC0078",10000,"HC"
"HC0079",10000,"HC"
"HC0082",10000,"HC"
"HC0083",10000,"HC"
"HC0087",10000,"HC"
"HC0088",10000,"HC"
"HC0089",10000,"HC"
"HC0091",10000,"HC"
"HC0092",10000,"HC"
"HC0094",10000,"HC"
"HC0105",10000,"HC"
"HC0108",10000,"HC"
"HC0115",10000,"HC"
"HC0116",10000,"HC"
"HC0117",10000,"HC"
"HC0119",10000,"HC"
"HC0120",10000,"HC"
"HC0122",10000,"HC"
"HC0123",10000,"HC"
"HC0124",10000,"HC"
"HC0125",10000,"HC"
"HC0126",10000,"HC"
"HC0127",10000,"HC"
"HC0129",10000,"HC"
"HC0130",10000,"HC"
"HC0135",10000,"HC"
"HC0138",10000,"HC"
"HC0140",10000,"HC"
"HC0143",10000,"HC"
"HC0144",10000,"HC"
"HC0145",10000,"HC"
"HC0147",10000,"HC"
"HC0149",10000,"HC"
"HC0150",10000,"HC"
"HC0152",10000,"HC"
"HC0153",10000,"HC"
"HC0156",10000,"HC"
"HC0159",10000,"HC"
"HC0161",10000,"HC"
"HC0162",10000,"HC"
"HC0163",10000,"HC"
"HC0164",10000,"HC"
"HC0165",10000,"HC"
"HC0171",10000,"HC"
"HC0172",10000,"HC"
"HC0176",10000,"HC"
"HC0178",10000,"HC"
"HC0179",10000,"HC"
"HC0180",10000,"HC"
"HC0181",10000,"HC"
"HC0182",10000,"HC"
"HC0183",10000,"HC"
"HC0184",10000,"HC"
"HC0185",10000,"HC"
"HC0187",10000,"HC"
"HC0188",10000,"HC"
"HC0189",10000,"HC"
"HC0190",10000,"HC"
"HC0193",10000,"HC"
"HC0194",10000,"HC"
"HC0196",10000,"HC"
"HC0197",10000,"HC"
"HC0199",10000,"HC"
"HC0200",10000,"HC"
"HC0203",10000,"HC"
"HC0206",10000,"HC"
"HC0210",10000,"HC"
"HC0211",10000,"HC"
"HC0212",10000,"HC"
"HC0214",10000,"HC"
"HC0215",10000,"HC"
"HC0216",10000,"HC"
"HC0217",10000,"HC"
"HC0218",10000,"HC"
"HC0225",10000,"HC"
"HC0227",10000,"HC"
"HC0230",10000,"HC"
"HC0232",10000,"HC"
"HC0238",10000,"HC"
"HC0244",10000,"HC"
"HC0245",10000,"HC"
"HC0247",10000,"HC"
"HC0249",10000,"HC"
"HC0251",10000,"HC"
"HC0258",10000,"HC"
"HC0272",10000,"HC"
"HC0276",10000,"HC"
"HC0278",10000,"HC"
"HC0279",10000,"HC"
"HC0281",10000,"HC"
"HC0282",10000,"HC"
"HC0286",10000,"HC"
"HC0287",10000,"HC"
"HC0289",10000,"HC"
"HC0293",10000,"HC"
"HC0296",10000,"HC"
"HC0297",10000,"HC"
"HC0300",10000,"HC"
"HC0302",10000,"HC"
"HC0304",10000,"HC"
"HC0305",10000,"HC"
"HC0315",10000,"HC"
"HC0318",10000,"HC"
"HC0319",10000,"HC"
"HC0320",10000,"HC"
"HC0321",10000,"HC"
"HC0322",10000,"HC"
"HC0323",10000,"HC"
"HC0324",10000,"HC"
"HC0325",10000,"HC"
"HC0326",10000,"HC"
"HC0381",10000,"HC"
"HC0401",10000,"HC"
"HC0402",10000,"HC"
"HC0404",10000,"HC"
"HC0410",10000,"HC"
"HC0411",10000,"HC"
"HC0412",10000,"HC"
"HC0429",10000,"HC"
"HC0430",10000,"HC"
"HC0431",10000,"HC"
"HC0433",10000,"HC"
"HC0439",10000,"HC"
"HC0441",10000,"HC"
"HC0446",10000,"HC"
"HC0501",10000,"HC"
"HC0502",10000,"HC"
"HC0503",10000,"HC"
"HC0505",10000,"HC"
"HC0595",10000,"HC"
"HC0596",10000,"HC"
"HC0597",10000,"HC"
"HC0598",10000,"HC"
"HC0599",10000,"HC"
"HC0600",10000,"HC"
"HC0601",10000,"HC"
"HC0602",10000,"HC"
"HC0603",10000,"HC"
"HC0605",10000,"HC"
"HC0606",10000,"HC"
"HC0607",10000,"HC"
"HC0608",10000,"HC"
"HC0609",10000,"HC"
"HC0610",10000,"HC"
"HC0611",10000,"HC"
"HC0612",10000,"HC"
"HC0613",10000,"HC"
"HC0614",10000,"HC"
"HC0615",10000,"HC"
"HC0616",10000,"HC"
"HC0617",10000,"HC"
"HC0618",10000,"HC"
