"taxon","lfc_GroupRA","se_GroupRA","W_GroupRA","p_GroupRA","q_GroupRA","diff_GroupRA","passed_ss_GroupRA","diff_robust_GroupRA","Direction"
"Prevotella 2",-1.06827271714245,0.0482780984419515,-22.1274812309959,3.00431975117255e-51,3.87557247901259e-49,TRUE,FALSE,FALSE,"Higher in HC"
"[Ruminococcus] gnavus group",0.663183294772192,0.064607157871308,10.2648578984576,8.5697035483889e-24,5.52745878871084e-22,TRUE,TRUE,TRUE,"Higher in RA"
"Erysipelatoclostridium",0.556289167797976,0.0569152549951337,9.7739906084149,2.79035116579082e-21,1.19985100129005e-19,TRUE,TRUE,TRUE,"Higher in RA"
"Tyzzerella",-0.428897692047721,0.0436830224056935,-9.81840697890492,7.50545045223135e-19,2.42050777084461e-17,TRUE,FALSE,FALSE,"Higher in HC"
"Ruminococcaceae UCG-010",0.417030005681241,0.0455566148790092,9.15410433344979,3.23783425169643e-18,8.35361236937678e-17,TRUE,FALSE,FALSE,"Higher in RA"
"Intestinibacter",0.398801502412118,0.0506831773242073,7.86851818427024,8.96145582125488e-15,1.9267130015698e-13,TRUE,TRUE,TRUE,"Higher in RA"
"Terrisporobacter",0.328453121146562,0.043333858389459,7.57959557154177,3.80143688161648e-13,7.00550511040752e-12,TRUE,TRUE,TRUE,"Higher in RA"
"Holdemanella",-0.448069608663384,0.0606078161369103,-7.39293439729317,6.47739900283391e-13,9.36033089802449e-12,TRUE,FALSE,FALSE,"Higher in HC"
"Tyzzerella 4",0.344792546720659,0.0465390729007275,7.40866814120117,6.53046341722638e-13,9.36033089802449e-12,TRUE,TRUE,TRUE,"Higher in RA"
"Weissella",0.358822119423896,0.0505554467419345,7.09759566077103,6.17312863568535e-12,7.9633359400341e-11,TRUE,FALSE,FALSE,"Higher in RA"
"Hungatella",0.314787977684959,0.0439071537551851,7.1694006730688,7.27760884357569e-12,8.5346503711024e-11,TRUE,FALSE,FALSE,"Higher in RA"
"Megasphaera",-0.360966695669769,0.0516162920294102,-6.99327056395479,1.28753032196352e-11,1.38409509611078e-10,TRUE,FALSE,FALSE,"Higher in HC"
"[Eubacterium] ruminantium group",-0.362265131236418,0.0532950658056508,-6.7973484179094,2.67680667898261e-11,2.65621585837505e-10,TRUE,TRUE,TRUE,"Higher in HC"
"Ruminiclostridium 6",0.322829375907212,0.0480021672476051,6.72530834372521,5.51493130953956e-11,5.08161527807574e-10,TRUE,FALSE,FALSE,"Higher in RA"
"Prevotella 9",-0.568428472673141,0.0867742750722249,-6.55065654193043,1.01758127963289e-10,8.75119900484284e-10,TRUE,FALSE,FALSE,"Higher in HC"
"Collinsella",0.349497862844628,0.0550832527082896,6.34490240973064,3.36759153908497e-10,2.71512067838726e-09,TRUE,FALSE,FALSE,"Higher in RA"
"Turicibacter",0.360167418836618,0.0587096669658794,6.13472086370271,1.26203973553344e-09,9.57665446375375e-09,TRUE,TRUE,TRUE,"Higher in RA"
"Citrobacter",0.272129158217915,0.0448509671258332,6.06740892463776,4.06718227484417e-09,2.91481396363832e-08,TRUE,FALSE,FALSE,"Higher in RA"
"uncultured bacterium",-0.274582744079359,0.0451714833234713,-6.07867450606132,6.94679554410843e-09,4.71650855363151e-08,TRUE,FALSE,FALSE,"Higher in HC"
"Lachnospiraceae UCG-003",0.253193153403719,0.0414110621963834,6.11414293608318,1.12652047889508e-08,7.26605708887326e-08,TRUE,FALSE,FALSE,"Higher in RA"
"Clostridium sensu stricto 1",0.393819434061046,0.0686366080845254,5.73774615400663,1.18964142769145e-08,7.30779734153319e-08,TRUE,TRUE,TRUE,"Higher in RA"
"Paraprevotella",-0.274232270289147,0.047606658334259,-5.76037638188527,1.46009880440143e-08,8.56148844399022e-08,TRUE,TRUE,TRUE,"Higher in HC"
"Lactobacillus",0.388528359495964,0.0704756329279606,5.51294601203672,4.90479636214085e-08,2.75095100311378e-07,TRUE,TRUE,TRUE,"Higher in RA"
"Sutterella",-0.288771947070479,0.0546881469122911,-5.28033885539424,1.65231610135213e-07,8.8811990447677e-07,TRUE,TRUE,TRUE,"Higher in HC"
"Lactococcus",0.259055743047345,0.0493011807636986,5.25455453671595,2.72478275716305e-07,1.40598790269613e-06,TRUE,FALSE,FALSE,"Higher in RA"
"Bilophila",-0.26234247869133,0.0512860638893642,-5.11527808523701,3.64514976486802e-07,1.7573416345296e-06,TRUE,TRUE,TRUE,"Higher in HC"
"Eisenbergiella",0.217360695091747,0.0409513151579938,5.30778301632439,3.95061297684949e-07,1.7573416345296e-06,TRUE,FALSE,FALSE,"Higher in RA"
"Adlercreutzia",0.21278516743127,0.0397560975296771,5.35226495187134,3.88189896776784e-07,1.7573416345296e-06,TRUE,FALSE,FALSE,"Higher in RA"
"Rothia",0.221656847148926,0.0424809986354795,5.21778805274605,3.79363459796069e-07,1.7573416345296e-06,TRUE,TRUE,TRUE,"Higher in RA"
"Veillonella",0.299011572128624,0.0590874223499434,5.06049443750884,5.18135203484525e-07,2.22798137498346e-06,TRUE,TRUE,TRUE,"Higher in RA"
"Dialister",-0.451366043775529,0.091258698885138,-4.94600568811131,8.47778015426086e-07,3.52785045128919e-06,TRUE,TRUE,TRUE,"Higher in HC"
