"Genus","Base mean","Log2 fold change","Standard error","Wald statistic","Raw P value","Adjusted P value (FDR)","Direction","Mean abundance (HC)","Mean abundance (RA)","Prevalence (%) HC","Prevalence (%) RA"
"Candidatus_Saccharimonas",11.2431411459577,-25.0436622002916,2.92333802046064,-8.56680343669098,1.06397282576145e-17,1.27676739091374e-15,"Higher in HC",55.5789473684211,0,21.0526315789474,0
"CAG-352",192.117074336932,-6.28902647499746,2.46714010259952,-2.54911606696797,0.0107996350856693,0.647978105140157,"Higher in HC",257.789473684211,46.4,31.5789473684211,15
"Lachnospiraceae_UCG-001",45.3598120646054,3.12664876431958,2.46819249414334,1.26677670876103,0.205235142498134,0.652598393694161,"Higher in RA",9.31578947368421,47,10.5263157894737,30
"Terrisporobacter",4.41678331187638,5.14505115700734,2.92554339304942,1.75866513182853,0.0786344031156197,0.652598393694161,"Higher in RA",20.8947368421053,13.7,10.5263157894737,15
"[Ruminococcus]_gauvreauii_group",32.9788967765805,-2.86680639852051,2.22289609662361,-1.28967179477032,0.197164636554827,0.652598393694161,"Higher in HC",39.8421052631579,5.9,47.3684210526316,5
"Tyzzerella",29.314125868256,-2.95217876751568,2.49367097285547,-1.18386860161234,0.236465080946012,0.652598393694161,"Higher in HC",26.8947368421053,3.7,31.5789473684211,10
"Slackia",1.69324482044462,3.74782731663296,2.92951447248818,1.27933394828043,0.200779482739781,0.652598393694161,"Higher in RA",0,9.8,0,10
"Colidextribacter",29.3419447923948,-2.58582618644851,1.94068318701068,-1.3324308695803,0.182718643880028,0.652598393694161,"Higher in HC",26.7894736842105,5.45,42.1052631578947,25
"Helicobacter",2.9037121162267,-5.10432070924075,2.9229686020377,-1.74627969170875,0.0807623629726073,0.652598393694161,"Higher in HC",22.7894736842105,0,21.0526315789474,0
"Senegalimassilia",2.85481132071259,4.50333472423704,2.92690807077023,1.53859793862674,0.123902482110328,0.652598393694161,"Higher in RA",2.63157894736842,17.25,5.26315789473684,15
"[Eubacterium]_fissicatena_group",2.47443570309658,-4.87100523360432,2.92377936738302,-1.66599617192189,0.0957141768964049,0.652598393694161,"Higher in HC",8.68421052631579,2.4,10.5263157894737,5
"Lachnospiraceae_UCG-010",20.2724912220497,-2.46213715959872,2.02141517860455,-1.21802645278365,0.223213920540858,0.652598393694161,"Higher in HC",22.3157894736842,3.2,47.3684210526316,15
"Adlercreutzia",25.2063416501845,-2.94569377012242,2.3634699816661,-1.24634278961558,0.212638574974867,0.652598393694161,"Higher in HC",31.0526315789474,18.1,31.5789473684211,15
"Christensenella",1.94419948100445,-4.52258945377834,2.92526088391976,-1.54604653507628,0.122093329594864,0.652598393694161,"Higher in HC",7.36842105263158,0,10.5263157894737,0
"Eggerthella",2.73908854723403,-5.01783340376037,2.9232540383204,-1.71652320940381,0.0860663237393289,0.652598393694161,"Higher in HC",16.2631578947368,2.1,15.7894736842105,5
"Mogibacterium",1.58887096871694,3.6692339396932,2.92987147462977,1.25235320779962,0.210441188675926,0.652598393694161,"Higher in RA",0,20,0,10
"Lachnospiraceae_FCS020_group",1.9612119066759,-4.53928835620926,2.92518147337732,-1.55179717823399,0.120710761347575,0.652598393694161,"Higher in HC",8.78947368421053,5.05,15.7894736842105,5
"Anaerotruncus",2.06979398490227,-4.61338163834083,2.92483993710382,-1.57731080590653,0.114724027204355,0.652598393694161,"Higher in HC",5.57894736842105,0,15.7894736842105,0
"Anaeroplasma",1.3787970127793,-4.02640348532947,2.92808939683208,-1.37509581834683,0.169101740621492,0.652598393694161,"Higher in HC",3.57894736842105,0,15.7894736842105,0
"Lachnospiraceae_UCG-006",0.972099740502227,-3.52027146886261,2.9321603011439,-1.20057265200994,0.229917014784082,0.652598393694161,"Higher in HC",3.89473684210526,0,10.5263157894737,0
"Acetatifactor",1.78095691701878,-4.39475716047567,2.92589999088624,-1.50201892551513,0.133092221218603,0.652598393694161,"Higher in HC",2,0,10.5263157894737,0
"Veillonella",1.32789123267991,3.40974079905035,2.93119634450921,1.16325909229437,0.24472439763531,0.652598393694161,"Higher in RA",22.3157894736842,1.9,15.7894736842105,10
"Desulfovibrio",1.01717373867579,-3.59358475527246,2.93147972771487,-1.22586034666994,0.220251233139906,0.652598393694161,"Higher in HC",47.3684210526316,0.65,26.3157894736842,5
"Bacteroides",1529.11311153485,4.60381601859697,2.1092575747617,2.18267132174083,0.0290600233182081,0.652598393694161,"Higher in RA",628.736842105263,5107.7,15.7894736842105,50
"Alloprevotella",2.10114904463976,-4.64435688468881,2.9247022381376,-1.58797597380247,0.112291772172344,0.652598393694161,"Higher in HC",125.210526315789,0,15.7894736842105,0
"Lactobacillus",8.01095571649053,-6.56807034409874,2.92001891331308,-2.24932458969813,0.0244918524766611,0.652598393694161,"Higher in HC",710.578947368421,1.2,21.0526315789474,5
"Escherichia-Shigella",5.75060306619444,-6.08997109388436,2.9206788066888,-2.08512181481147,0.0370582445572518,0.652598393694161,"Higher in HC",93.4736842105263,0,21.0526315789474,0
"HT002",1.06369536484521,-3.65769500590432,2.93091194441411,-1.24797164680275,0.212041440654083,0.652598393694161,"Higher in HC",45.1578947368421,0,21.0526315789474,0
"Ligilactobacillus",1.26313824575369,-3.90518523637362,2.92893981328936,-1.3333101686333,0.182430038057446,0.652598393694161,"Higher in HC",44.1578947368421,49.7,21.0526315789474,5
"Haemophilus",1.46258112666217,-4.11636639744678,2.92750247074112,-1.40610176715058,0.159693907717468,0.652598393694161,"Higher in HC",33.6842105263158,0,15.7894736842105,0
"Enterococcus",3.39052897544412,-5.32815811084017,2.92230432600391,-1.82327284103437,0.0682620775795586,0.652598393694161,"Higher in HC",83.2105263157895,0,21.0526315789474,0
"Streptococcus",2.22820441980659,-4.72501022596696,2.92435719443887,-1.61574319134212,0.106149848527501,0.652598393694161,"Higher in HC",24.0526315789474,9.45,15.7894736842105,5
"Pseudomonas",1.96233891581145,-4.54166093597382,2.92517026453887,-1.55261421566849,0.120515327423697,0.652598393694161,"Higher in HC",29.1578947368421,0,21.0526315789474,0
"Klebsiella",1.41269123782697,-4.06714436243334,2.92781910248068,-1.38913785998163,0.164790833070236,0.652598393694161,"Higher in HC",19.7368421052632,0,21.0526315789474,0
"Savagea",2.73152217065695,-5.01829302444798,2.92325247303857,-1.71668135774524,0.0860374081633316,0.652598393694161,"Higher in HC",5.42105263157895,0,15.7894736842105,0
"Treponema",2.17895926554746,-4.69293055762139,2.9244921429818,-1.60469932151587,0.108559991334418,0.652598393694161,"Higher in HC",4.31578947368421,0,15.7894736842105,0
"Mucispirillum",1.77813832962228,-4.40046472393568,2.92587024016621,-1.50398492165726,0.132585249207383,0.652598393694161,"Higher in HC",3.52631578947368,0,15.7894736842105,0
