"Feature","Selection_Count","Repetitions","Selection_Percentage"
"alistipes",30,30,100
"bifidobacterium",30,30,100
"bilophila",30,30,100
"clostridium_sensu_stricto_1",30,30,100
"erysipelatoclostridium",30,30,100
"eubacterium_ruminantium_group",30,30,100
"intestinibacter",30,30,100
"parasutterella",30,30,100
"ruminococcus_gnavus_group",30,30,100
"streptococcus",30,30,100
"sutterella",30,30,100
"terrisporobacter",30,30,100
"turicibacter",30,30,100
"tyzzerella_4",30,30,100
"veillonella",30,30,100
"lactobacillus",29,30,96.6666666666667
"ruminococcaceae_ucg_002",29,30,96.6666666666667
"ruminococcaceae_ucg_003",29,30,96.6666666666667
"dorea",28,30,93.3333333333333
"phascolarctobacterium",28,30,93.3333333333333
"ruminococcus_torques_group",28,30,93.3333333333333
"dialister",24,30,80
"ruminococcus_1",24,30,80
"ruminococcaceae_nk4a214_group",23,30,76.6666666666667
"clostridium_innocuum_group",21,30,70
"klebsiella",21,30,70
"rothia",21,30,70
"butyricimonas",20,30,66.6666666666667
"lachnospiraceae_ucg_010",20,30,66.6666666666667
"eubacterium_ventriosum_group",18,30,60
"lachnospira",18,30,60
"allisonella",17,30,56.6666666666667
"lachnoclostridium",16,30,53.3333333333333
"roseburia",16,30,53.3333333333333
"coprococcus_2",14,30,46.6666666666667
"granulicatella",13,30,43.3333333333333
"agathobacter",11,30,36.6666666666667
"flavonifractor",11,30,36.6666666666667
"hungatella",11,30,36.6666666666667
"enterobacter",8,30,26.6666666666667
"ruminococcaceae_ucg_005",8,30,26.6666666666667
"coprococcus_3",6,30,20
"eubacterium_hallii_group",6,30,20
"lachnospiraceae_nc2004_group",6,30,20
"megamonas",6,30,20
"moryella",6,30,20
"paraprevotella",6,30,20
"gemella",5,30,16.6666666666667
"coprobacter",4,30,13.3333333333333
"sellimonas",4,30,13.3333333333333
"cag_56",3,30,10
"coprococcus_1",3,30,10
"oscillibacter",3,30,10
"ruminococcaceae_ucg_014",3,30,10
"defluviitaleaceae_ucg_011",2,30,6.66666666666667
"enterococcus",2,30,6.66666666666667
"gca_900066225",2,30,6.66666666666667
"haemophilus",2,30,6.66666666666667
"lachnospiraceae_ucg_006",2,30,6.66666666666667
"parabacteroides",2,30,6.66666666666667
"ruminococcus_2",2,30,6.66666666666667
"barnesiella",1,30,3.33333333333333
"blautia",1,30,3.33333333333333
"christensenellaceae_r_7_group",1,30,3.33333333333333
"coprobacillus",1,30,3.33333333333333
"erysipelotrichaceae_ucg_003",1,30,3.33333333333333
"lachnospiraceae_fcs020_group",1,30,3.33333333333333
"lachnospiraceae_ucg_008",1,30,3.33333333333333
"lactococcus",1,30,3.33333333333333
"marvinbryantia",1,30,3.33333333333333
"ruminococcus_gauvreauii_group",1,30,3.33333333333333
"staphylococcus",1,30,3.33333333333333
"subdoligranulum",1,30,3.33333333333333
"tyzzerella_3",1,30,3.33333333333333
